,Tweet,Negative,Neutral,Positive
0,"#BertOgden makes it easy to get your next #BMW with our current specials. Right now, you can #finance for 3.49% APR for 60 months.

Visit us online at: http http",0.001780691,0.15891689,0.83930236
1,#Job #JobsGutFinden #Recruiting http - #BMW AG: Product Owner - IT Crowd Data Collection (w/m/x),0.050273627,0.88804436,0.061682124
2,#news #BMW #BMWM #BMWM3 #BMWVideos 2023 BMW M3 Touring Laps The Nurburgring In 7:35.060 Setting New Record For Station Wagons http,0.011394949,0.8230689,0.16553596
3,#news #BMW 2023 BMW M3 Touring Laps The Nurburgring In 7:35.060 Setting New Record For Station Wagons http http,0.008800238,0.78234166,0.20885807
4,2013 BMW 1 Series looks a lot better with a new cloth convertible top we installed #Notforsale #importcars #bmw #bmwconvertible #convertibletopspecialist #leatherkits #vinyltops #headliner #sunroofrepair http,0.0049060765,0.05983772,0.9352562
5,"2014 #BMW #328i xDrive   for sale in RED BANK, NJ #BMW #REDBANK http",0.015219391,0.8866114,0.09816929
6,"2016 #BMW #320i xDrive   for sale in RED BANK, NJ #BMW #REDBANK http",0.011914298,0.8715518,0.11653397
7,"2018 #BMW #740i xDrive   for sale in RED BANK, NJ #BMW #REDBANK http",0.013680473,0.87541825,0.11090134
8,@user @user @user @user If you're interested in an EV just be patient. First world car companies who actually know how to build quality vehicles are going to have their offerings in showrooms that within a year. #Ford #GM #VW #BMW #Honda #Toyota,0.020401213,0.42832848,0.5512703
9,"@user @user I know how you feel. I felt just the same back in 2008, when my boy was born, and I sold my #Prodrive Subaru Impreza Turbo, and got a sensible #BMW Touring instead. Kinda similar I guess... 🤷‍♂️😂🤦‍♂️",0.2713467,0.5673381,0.1613152
10,"A big thank you to all who attended the Frank Keane Golf Day this afternoon. Sun was shining and everyone in great spirits. Well done to all golfers. 
#FrankKeane #BMW #Golf http",0.00084667717,0.015574603,0.9835789
11,AUDI A3 Sportback 1999 - 2003 http via @user #Audi  #Bmw #Mercedes #automobile #Cars #Voiture #porsche #akram #GMK #alfaromeo #lamborghini #ferrari #maserati #volkswagen,0.040895265,0.69742876,0.26167598
