,Tweet,Negative,Neutral,Positive
0,"""Global #EV manufacturers, such as #Tesla, should set up their manufacturing facilities in #India.""

Watch @user in conversation with @user #Raisina2022

https://t.co/ZOH32L4OgG",0.024078082,0.7625877,0.2133343
1,"""What people should absolutely have zero concern about, and I mean zero, is that Tesla will achieve a 10,000 unit production week by the end of month. It will be much more compelling than anything else out there.""

#Tesla $tsla $tslaq",0.02442203,0.12909202,0.84648603
2,"#AANews #CryptoNews #Dogecoin #ElonMusk #Tesla Elon Musk, Tesla, SpaceX Sued for $258 Billion Dogecoin ‘Pyramid Scheme’ http - http http",0.28695485,0.660935,0.052110124
3,"#Bitcoin #ETH 

2020 IT WAS $10,000. NO REASON SHOULD BE HIGHER

#RECESSION 

     💩 #PONZI #DoKwon 💩

 #LUNA #UST #Tether TIK TOK💣

#Bitcoin #Link  #ADA #XRP  #cryptocurrency #Blockchain #LTC #DOGE #Dogecoin #litecoin #BCH #Polkadot #Elon  #ETH #Tesla #shiba #SEC #BNB http",0.224148,0.65474164,0.12111032
4,"#Bitcoin   $10,000 - 2020
#Etherum  $400       - 2020

NO REASON TO PAY MORE

    💩 #PONZI #DoKwon 💩

#HEX #LUNA #UST #Tether TIK TOK💣

#Link #ADA #XRP  #cryptocurrency #Blockchain #Grayscale #LTC #DOGE #Dogecoin #litecoin #BCH #Polkadot #Elon  #Tesla #shiba #NFTs #SEC #BNB http",0.21370232,0.67957115,0.10672654
5,"#Bitcoin    #ETH #Crypto 🔥 

NOBODY BUYING IN TO THESE PONZI SCAMS ANY LONGER

ITS OVER

      💩 #PONZI #DoKwon 💩

#HEX #LUNA #UST #Tether TIK TOK💣

#Bitcoin    #Link #ADA #XRP  #cryptocurrency #Blockchain #LTC #DOGE #Dogecoin #litecoin #BCH #Polkadot #Elon #Tesla #shiba http",0.24424694,0.66361505,0.09213802
6,"#Bitcoin  💩💩

MAXIS FROM $10 DUMPING TO THE SHEEP FOR $20,000??😂🤣

    💩 #PONZI #DoKwon 💩

#HEX #LUNA #UST #Tether TIK TOK💣

#Link #ETH #ADA #XRP  #cryptocurrency #Blockchain #Grayscale #LTC #DOGE #Dogecoin #litecoin #BCH #Polkadot #Elon  #Tesla #shiba #NFTs #SEC #BNB http",0.18363176,0.7153562,0.10101204
7,"#Dogecoin investor #KeithJohnson filed a class-action #lawsuit against #ElonMusk and his companies, #Tesla and #Spacex, Thursday in federal court in #Manhattan, Bloomberg reported. http",0.16547428,0.78963006,0.044895712
8,"#DowJones Plunges As Bears Attack; #Tesla Stock Dives Amid #ElonMusk Twitter Move; #Apple Crumbles. $TSLA $AAPL $NKE $TWTR

https://t.co/9h2kqjZJTZ",0.33907646,0.5769324,0.08399117
9,"#ElonMusk Addresses #Twitter Staff Meeting:

Musk proposes having Twitter users pay for verification

Freedom of speech isn’t freedom of reach #Musk says

#Tesla CEO lays out goal of Twitter reaching 1 billion users

Musk says ‘excellent’ contributors entitled to work from home",0.14284372,0.66840583,0.1887504
10,"#ElonMusk, #SpaceX  and #Tesla Inc. are sued for a whooping $258 billion over claims they are part of a racketeering scheme to back the cryptocurrency Dogecoin as per #Bloomberg",0.66968375,0.31195536,0.018360883
11,"#ElonMusk, #SpaceX and #Tesla Hit with $285 Billion Lawsuit Alleging Pump and Dump Dogecoin Cryptocurrency Scheme http via @user",0.048952315,0.8013701,0.14967765
12,"#KeithJohnson suing #Musk #Tesla is obviously right
$DOGE like $BTC #ETH is a #SillyLotteryWithoutWinningNumbers
#LoterieDébileSansNumérosGagnants 
and #ElonMusk was doing propaganda to RAISE THE RESALE PRICE OF TICKETS AS POSSIBLE
https://t.co/BK5hmBnwel",0.3652098,0.50753546,0.12725462
13,#Rivian #lucid #lucidmotors only downs -65% on average this year. #Tesla #TSLA #electricvehicles #ElonMusk http,0.053558756,0.6187282,0.32771307
14,"#TESLA vs. #Tom
I purchased a #Tesla #Model3 this year to play #chess against my #car accelerate the #world's #transition to #sustainable #energy.   http http",0.015297744,0.43137679,0.5533254
15,"#Tesla 
#CustomerService 
Tesla is sending untrained employees to work on cars as service becomes problematic 
@ElectrekCo 
https://t.co/rW3JAw9pau 
#customerexperience",0.64792645,0.31374216,0.038331337
16,"#Tesla (US Equities) : Live example on TF 1W,  1D, 4h, 30min, demark 9, supertrend, our system with 4 indicators , Supp Area., Resist. Area,  Lorenz attractor area, Pivot and Target price http",0.019909937,0.83853185,0.14155841
17,#Tesla Leads in #Driver-Assisted #Technology Crashes: NHTSA http,0.2749963,0.6678395,0.05716412
18,#Tesla Model Y secured today. http,0.004348908,0.49643287,0.4992182
19,#Tesla and #microstrategy lose $1.5 billion together on #btc holding.⤵️🛑,0.62964284,0.33658665,0.03377051
20,#Tesla and #microstrategy lose $1.5 billion together on #btc  holding.⤵️🛑,0.6274227,0.33790755,0.034669686
21,"#dogecoin #ElonMusk reportedly sued along with #Tesla with respect to #pyramidheadscheme

#Bitcoin",0.23712423,0.71956986,0.04330579
22,"#tesla #supercharger in Fredericia, Denmark is under construction with 24 stalls (250 kW) http",0.033726856,0.8844527,0.081820555
23,"#tesla looking to avoid Dutch non-teslas traveling through Germany to and from more southern countries — at least on smaller superchargers. Anyway, good start. http",0.055050746,0.35062668,0.5943227
24,$LCID. $TSLA. ⁦@LucidMotors⁩ ⁦@Tesla2Lucid⁩   Finally getting some respect from #Tesla owners!!  Thank you for NOT parking 6” away from my #LucidAir &amp; blocking me!!!🤣🤣😂😂.   😎❤️🔥🏎 http,0.14656293,0.28993806,0.56349903
25,"$TSLA  $630  (D1)
Breaking down, as we anticipated #TESLA http http",0.08535355,0.8064064,0.10824008
26,"$TSLA winnings of initial #BTC investment🙌

$-542681871 (-40.2 %) (Realized: 272 M)
(Estimating an average buy price of $35000/BTC with now 38,700 BTC holdings $BTCUSD)
#Tesla #Bitcoin #crypto",0.026407717,0.79400027,0.179592
27,"$TSLA winnings of initial #BTC investment🙌

$-546905057 (-40.51 %) (Realized: 272 M)
(Estimating an average buy price of $35000/BTC with now 38,700 BTC holdings $BTCUSD)
#Tesla #Bitcoin #crypto",0.028555673,0.8004812,0.17096315
28,$TWTR All Hands with Elon. #TESLA $TSLA http,0.008215795,0.6175999,0.3741842
29,".@elonmusk is being sued for $258 billion over alleged #Dogecoin pyramid scheme.

@business reports that an American citizen is suing the #Tesla founder for allegedly pumping Dogecoin. The lawsuit alleges that Musk was part of a racketeering scheme backing the #cryptocurrency.",0.6913279,0.29408127,0.014590773
30,@user LOL...a #Tesla on autopilot is an apropos word picture for the #USSenate...frequent crashes...and they are both not driven and governed by #WethePeople ...just a plutocratic algorithm...set in steady #GreedMode  I give Bill Maher permission to use this!,0.54420835,0.3611849,0.094606735
31,"@user @user #KeithJohnson suing #Musk #Tesla is obviously right
$DOGE like $BTC #ETH is a #SillyLotteryWithoutWinningNumbers
#LoterieDébileSansNumérosGagnants 
and #ElonMusk was doing propaganda to RAISE THE RESALE PRICE OF TICKETS AS POSSIBLE 

#CryptoCrooks !
https://t.co/c7XygghEfZ",0.5249871,0.4037778,0.071235046
32,"@user This is going to get massive attention when this monument of #ElonMusk's head on a #Goat body, riding a #Rocket is on the back of a truck heading to #Tesla for delivery to the G.O.A.T himself.

Let that sink in...

@ElonGoatToken is crazy! 🤪
#LFGoat #EGT

https://t.co/BX4hdO7qov http",0.02486534,0.29218283,0.6829518
33,@user You can also recharge your #Tesla from an electric F150.,0.0035097678,0.25252068,0.74396956
34,"@user is creeping up on #Tesla crazyyy as far as electric cars are concerned.

I’d love to test drive the #EQE 😍😍😍",0.0072380262,0.049022518,0.94373935
35,@user @user The eu is overregulating it so #tesla focuses it’s resources on solving it elsewhere first.,0.45315772,0.49871874,0.048123572
36,@user What happened to the affordable and highly affordable cars from the masterplan? #Cybertruck and #FSD are the biggest #Tesla mistakes.,0.81888336,0.15780035,0.023316376
37,@user @user Bad idea!!! One of the key selling points of #tesla getting slaughtered… How would you feel if you need to wait one hour on your holiday trip because all Tesla chargers are occupied by VWs or BMWs?,0.6659861,0.28104836,0.05296557
