,Tweet,Negative,Neutral,Positive
0,#2022audiq4 #aduiq4 #2022audi #allnewaudiq4 #AUDI #2022 #supercarmo subscribe here http http,0.07366837,0.8581515,0.06818008
1,#AUDI A6 ULTRA - 2016 - 169890 km. for more information visit http http,0.04407179,0.91518104,0.040747054
2,#AUDI Q7 - 2014 - 162345 km. for more information visit http http,0.047983944,0.9096621,0.04235381
3,"#Audi #SocAIty study clears top 8 #myths about self-driving #cars

https://t.co/RzPOlNhcaC http",0.028017007,0.5994873,0.37249568
4,#Audi Celebrates 15 Years Of India Operations http,0.0030728155,0.37640125,0.62052584
5,"#Audi Completes 15 Years In India! – Five Year Unlimited Warranty For All New Cars!

Read more at: http",0.0075002676,0.37275958,0.61974007
6,"#Audi India are celebrating 15 years in #India  by announcing an industry-first five-year warranty with unlimited mileage for all vehicles sold this year, beginning June 1.
#CarIndia @user #AudiService #FutureIsAnAttitude http",0.0013368079,0.046534948,0.95212823
7,"#Audi India are celebrating 15 years in #India  by announcing an industry-first five-year warranty with unlimited mileage for all vehicles sold this year, beginning June 1.
Via @user #CarIndia @user #AudiService #FutureIsAnAttitude http",0.0013128589,0.04995754,0.9487297
8,"#Audi RS 4 Avant - a high-performance #car offering an incredible driving experience due to the dynamic handling and powerful engine. 🔥

⭐ 0-62mph in 4.1 seconds! 
⭐ 450 PS &amp; maximum torque of 600 Nm

Could this be your ideal new car? http http",0.0031940571,0.07914553,0.9176604
9,#Audi RS3 LMS http http,0.0480865,0.84451234,0.10740119
10,#Audi nave 📸🚘🥇 http,0.044434555,0.8804087,0.0751568
11,#Audi switching from #truck to #rail for #battery delivery http via GreenCarCongres,0.0103936745,0.60305876,0.3865475
12,#Audi switching from #truck to #rail for #battery delivery http,0.03358961,0.8255023,0.140908
13,"#Former Indian cricketer and head coach of Team India #Ravi Shastri has shared a photo of his 36-year-old #Audi car on social media. 
https://t.co/NlRbD2cfVM http",0.06967955,0.83316714,0.09715348
14,"#MobilityNews | Balbir Singh Dhillon, Head, Audi India, said, “This is a milestone initiative and we are very happy to offer a complete peace of mind package.”
Read full report: http #Audi #AudiIndia",0.0016048754,0.037325997,0.9610693
15,"#RaviShastri terms his gold-coloured Audi100 as India's national asset. Check the reason here👇

#TeamIndia #Shastri #Audi #indiancricket #IndiavsPakistan #INDvPAK

https://t.co/gN1QF9K0NY",0.046811406,0.7167858,0.2364029
16,"#news #AskUsAnything #Audi #AudiRS3 #NewCars You Asked, We Answer: Everything You Want To Know About The 2022 Audi RS3 http",0.022371141,0.6212891,0.3563398
17,#news #Audi #Autonomous #Study #Tech Audi Addresses Autonomous Driving Concerns Like The “Trolley Problem” In A New Study http,0.039530475,0.65465266,0.30581683
18,#news #Audi Audi Addresses Autonomous Driving Concerns Like The “Trolley Problem” In A New Study http http,0.054877166,0.7227818,0.22234106
19,(I purchased a 30yr outdated ITALIAN ...) http - http #Acura #AstonMartin #Audi #BIsForBoat #BIsForBuild #Bentley #Bmw #Boat Sports betting #Sportsbetting #Blackjack #Poker #Horseracing #Craps #sportsbook #Austrailia #gaming,0.16990638,0.76967037,0.06042326
20,".@AudiIN completes 15 years in India

#Audi has introduced a warranty coverage for 5 years with unlimited mileage for all cars sold from 1st June 2022",0.013900331,0.3899397,0.59615993
21,"2012 Audi Q5 with 135k miles for parts! 3.2L engine and auto trans. Stock # C22275
Call or TEXT 716-894-2060

20-60 Auto Parts

#Audi #Q5 #Buffalo #UsedPart #NotAJunkyard #2060autoparts #CarPart #GetUsedParts #AutomotiveRecycling #BuffaloUsedParts #Bestusedparts #Familyowned http",0.026978541,0.720872,0.25214946
22,24H Le Mans 2016 Qual3 Dalmas Amazing Drift SC Live @user - http #LeMans24  #LeMans #GTWorldChEu #Audi #Motorsport @user @user @user @user @user @user @user @user @user @user,0.021666406,0.7171708,0.26116267
23,@user Sweet morning #Audi http,0.0025008179,0.12779436,0.8697047
24,@user Definitely utilize Twitter to go after auto manufacturers that don’t care about customers and use fraud tactics like #audi,0.58396924,0.37165815,0.04437256
25,"@user Finally, seven issues of The #Audi Magazine, the official glossy magazine of @user spanning 1990-2001, covering new models, motorsport and road trip features. 

If any of the titles in this thread appeal, they'll be FREE, as they will going in the recycling bin otherwise. http",0.074767224,0.5583512,0.3668815
26,"@user @user @user Nostalgic, I still remember this match, watched it live on TV &amp; the #Audi drive that you all took, it was as if we all Indians are also taking a ride with you. The amount of Publicity that #Audi got all over the Indian subcontinent for this cannot be compared with anything.",0.1002079,0.5083747,0.39141747
27,"@user 
#dubai #museumofthefuture #future #architecture #architecturephotography #weekend #design #interior #audi #white #interiordesign #dubai #uae #unitedarabemirates @ Museum of the Future http",0.017584722,0.78314626,0.19926898
28,"@user and @user topped the two #STCC #TCRScandinavia practice sessions at #Ljungbyhed today! 🏁 The last session had just 0.064 seconds ⏱ between the top drivers, read more 👉 http #CUPRA #LynkCo http",0.0014792075,0.19153681,0.8069838
29,"A daily reminder that you're driving your dream Audi ❤️ 

#AudiSanJuan #Audi #SanJuan #RGV http",0.0027825087,0.084655024,0.9125624
30,"A vision of progress. Milan Design Week is almost here and we’re inviting you to explore re-generative design at the House of Progress. Watch this space.​
Discover more at http #eMobility #MilanDesignWeek #AudiHouseOfProgress #FutureIsAnAttitude http",0.0019039847,0.2486377,0.7494582
31,"AUDI A3 Sedan: 2020 - Present

""The 2020 A3 look elegant and aggressive at the same time. The front was equipped with a large single frame open honeycomb grille in gloss black finish that...was also functional with flaps that went on and off.""

Read more on Auto Evolution. #Audi http",0.004749304,0.17426004,0.8209905
32,Archive Post: #Silvercar Is Coming To Downtown San Francisco http #audi #california,0.006721017,0.81751686,0.17576201
33,"Audi
Medieval branding | Part 1
#audi http",0.09061148,0.8504973,0.058891226
34,Audi 100 won by Ravi Shastri in 1985 fully restored by Super Car Club Garage #audi #car #Club #fully #garage #Ravi #restored #shastri #Super #won http,0.010075797,0.41126043,0.57866377
35,"Audi @user it’s my new look 
#FutureIsAnAttitude #Audi http",0.0029104333,0.17956309,0.81752646
36,Audi A4 Sedan 45 TFSI quattro S line 2022 Review: http Audi A4 – In a world that is increasingly heading towards SUVs and Utes the Audi A4 sedan stands strong against the tide. #Audi #AudiA4 #Audi45TFSI http,0.0053371154,0.20858392,0.78607893
