,Tweet,Negative,Neutral,Positive
0,"#AzerbaijanGP on the #tvtime 

#feeling the urge to go and take the #mercedesbenz #amg #a45 out for a spin.

#love is in the air

https://t.co/iUUHJtgZUy http",0.016617237,0.3949316,0.5884512
1,#CanYaman at #MercedesBenz  Ad ❤🔥👋🚙 http,0.004958225,0.20963182,0.78541005
2,#CanYaman Ｃ᭄ for #MercedesBenz http,0.033074938,0.6945294,0.27239573
3,"#NFT #ManUnited #MercedesBenz 
#Juicewrld   
#jeriq 
Everly 🦅 I gotta call this mine some day http",0.012123055,0.33633623,0.65154064
4,AD #MercedesBenz  with #CanYaman 🔥❤ http,0.0022109086,0.081876956,0.91591215
5,"Are you looking forward to the Montreal Grand Prix this weekend?
#formulaone #Canadiangrandprix #f1 #race #Canada #grandprixmontreal #formula1 #Montreal #racing #grandprix #ferrari #mclaren #mercedes #mercedesbenz #mtlmoments
#summerinMontreal  #circuitGillesVilleneuve",0.014229743,0.67880607,0.30696416
6,"Attention Vegas! We have the Mercedes-Benz G-Class 2021 available $499 per day!
.
.
Book Now via our CarSHAiR app or online! 😎
.
.

#shairco #carrental #lasvegas #vegas #vegaslocals #lasvegaslocals #mercedesbenz #4x4 #mercedes #mercedesc63 #mercedesc63amg #mercedeseclass http",0.0036569284,0.20711447,0.78922856
7,"Come closer. - your dreams. 
 #mercedesbenz #777exotics #lifestyle http",0.014320316,0.44735858,0.5383211
8,"FOR MORE INFO VISIT http #detailing #autodetailing #cardetailing #carwash #detailingworld #ceramiccoating #polytopausandnz #coating #carlifestyle #onyxcoating #luxurycars #sportscar #iamborghini #mercedesbenz #onyxcoatingaustralia 
#Graphene #marine http",0.039815165,0.7443043,0.21588054
9,"G63 AMG
2022
“New”
GCC Spec
W. Wrty &amp; Service

call/whatsapp us:
+971528542444
+971506514777

#mercedes #mercedesbenz #mercedesgclass #g63 #cars #gclass #biturbo #v8biturbo #carsforsale #dxbcars #likeforlikes #likeforfollow #like4likes #followforfollowback #followus #likeus http",0.013831219,0.57448536,0.41168338
10,"He's the moment 🔥

#CanYaman ✘ #MercedesBenz http",0.0047997823,0.13518713,0.8600132
11,If there was truly an example of beauty in engineering 🤌🏼 #MercedesBenz #amg #Mercedes @user http,0.0038287493,0.06498211,0.93118906
12,"Luxury without the loss of durability. Shop the Mercedes Benz GLC available at Hayes Mercedes.

#HayesCars #HayesMB #HayesMZ
#MercedesBenz #Mazda #LetsRide #KalamazooDealership #CarDeals

https://t.co/mjzlbhsqq0 
📷: mercedes benz http",0.013905601,0.5012803,0.48481408
13,Missed the digital world premiere of the new #MercedesBenz #GLC? Head to Mercedes me media now: http http,0.3347095,0.5082621,0.15702836
14,"New Mercedes G63 4x4. McLaren Racecar Exhibit. Escalade V Debuts…
Biggest news &amp; events hitting Auto this week

#mercedesbenz #mercedesamg #mercedesg63 #mclaren #racecar #exhibition #escalade #cadillac 
https://t.co/HfY7ovzICa",0.009294678,0.50989145,0.48081395
15,"Now Available for sale!! Foreign Used 2012 #mercedesbenz Glk350 
Price : ₦9,600,000m
Location : #lagos http",0.018360423,0.8355285,0.14611103
16,"Our all-electric #EQSSUV is driven by digital innovation and state-of-the-art technology.

Want to discover the future of in-car entertainment and connectivity? Head over to Mercedes me media: http #LeadInElectric #FutureMobility http",0.0028059587,0.14602438,0.8511697
17,"President PaJK Sultan Mehmood Ch. has approved to buy a #MercedesBenz car worth Rs 100 million for himself. I wonder how the rulers of a poor region spend public money so recklessly.
Don't forget there is a #PTI government in 'Azad' #Kashmir.
@ImranKhanPTI @user http",0.5146702,0.427312,0.05801782
18,Putting you in the best light. The new Mercedes-AMG SL. http #MercedesBenz #Mercedes #MB #MercedesSL #MercedesAMG #AMG #SL #DrivingPerformance http,0.0022584302,0.08721323,0.9105284
19,"So #McDeliveryTurns5... Never had one delivered... But if you're bringing free stuff I'll grab a new car and some golf clubs... 
#taylormade #MercedesBenz #Callaway 

(Oh and a promoted tweet but still want the free stuff) 😉",0.056890264,0.32269368,0.62041605
20,"Star F1 Weekend! Mercedes-Benz Canada is returning as the official automotive sponsor of the Canadian Grand Prix in Montreal. It kicks off June 17th until race day Sunday. Some of the Star team will be there cheering on George and Lewis!

#MercedesBenz #Ottawa #CanadianGP #F1 http",0.0016977129,0.19504586,0.8032566
21,"The 2022 Mercedes-Benz GLA 250 SUV goes big on innovation while adhering to its deep family values. A 221-hp turbo-4, 8-speed, 18-inch wheels, and a digital cockpit with the MBUX voice assistant are standard. #MercedesBenz #GLA http http",0.0026554076,0.1183512,0.8789935
22,"The 2022 Mercedes-Benz GLA 250 SUV goes big on innovation while adhering to its deep family values. A 221-hp turbo-4, 8-speed, 18-inch wheels, and a digital cockpit with the MBUX voice assistant are standard. #MercedesBenz #GLA http http",0.0026554076,0.1183512,0.8789935
23,"The 2022 Mercedes-Benz GLA 250 SUV goes big on innovation while adhering to its deep family values. A 221-hp turbo-4, 8-speed, 18-inch wheels, and a digital cockpit with the MBUX voice assistant are standard. #MercedesBenz #GLA http http",0.0026554076,0.1183512,0.8789935
24,"The end of a great first day at our EV Event 💥⚡️

Thank you to everyone who came along! We can't wait to do it again tomorrow! 🙌

#mercedesbenz #electric #eVito #eSprinter #van #electricvehicle http",0.0009928236,0.0073681,0.99163896
25,"This is your reminder, that the EQS is All Electric! #mercedes #mercedesbenz #mercedesamg #palmbeach #amg #g63 #s63 #c63 #e63 #mercedesf1 #fy #fyp #tiktok #shorts #reels #stories http",0.008033325,0.2928515,0.6991152
26,"Today is #WorldSeaTurtleDay, spread love and make the earth a better place to live for turtles. Happy World Turtle Day!
.
#MercedesBenz #lifetimewarranty #mbusa #larsoncares http",0.0016627595,0.023733374,0.97460383
27,"Vintage mercedes on opensea for lowest price

https://t.co/FcTrx5gUE4

#NFTCommunity #NFTCommmunity #NFTshill #ETH #DeFi #MercedesBenz  #NFTs",0.02499107,0.6051214,0.3698876
28,"Wow #CanYaman so beautiful 
#MercedesBenz http",0.0036562243,0.041456014,0.95488787
29,"“The Last #Blast” Behind-The-Scenes | #Mercedes-#Benz #CARS UK
 
https://t.co/QKXU0ZFq9z
 
#BehindtheScenes #ElectricCars #ElectricVehicles #EV #MercedesBenz #MercedesBenzCarsUK #MercedesBenzUK #MercedesBenz #Videos #Vlog #YouTube http",0.072840445,0.6867808,0.24037877
30,"🟡Hotwheels Benz AMG GT3
#hotwheels #amg #amggt3
#MercedesBenz #benzamg
#トミカ #tomica #多美小汽車 
#ミニカー #トミカ好き #토미카
#tedtomica #minicar #小汽車
#ミニカー好き #littlecar
#ミニカー好きな人と繋がりたい
#164cars #164scalediecast http",0.13204867,0.78362054,0.08433086
