,Tweet,Negative,Neutral,Positive
0,"#ElectricCars Are Becoming Less Expensive - This is great news for consumers who are considering their first EV purchase, especially amid elevated gas prices.  Consumer Reports http #ElectricVehicles #EVs #cars #VW #Stellantis #Renault #Mercedes #BMW #Volvo",0.0024985054,0.041772928,0.95572853
1,"#Hyundai #Ioniq5 next level parking, an often cited advantage of #EVs built on dedicated electric platforms: extended wheelbase and lower overhangs allow for shorter cars with interior space comparable to larger internal combustion engine cars. the #VW #IDBuzz is another example. http",0.009372671,0.33530807,0.65531933
2,"#Quirky #slammed #VW/#Volkswagen 

1. Likey 😍
2. No Likey 🤮 http",0.43371937,0.46120954,0.1050711
3,#TNRGold🔋 $TNR.v Lithium Royalty Holding: #Ganfeng Lithium Supercharges #MarianaLithium Development By US$600M Investment Making Argentina The Power House Of #Solar Energy #rEVolution. http #Royalties⚡️ $GNENF #EVs #Batteries #Tesla #VW #BMW $LIT $BATT http,0.016019702,0.877278,0.10670235
4,#VW #Beetle with #Chrome #Engine by Kaye Menner #prints #lovely #products at  http http,0.0019253924,0.13829607,0.8597786
5,"#Volkswagen CEO Is Confident His Company Will Overtake #Tesla In Market Share #VW #EV #ElectricVehicle #𝒟𝒾𝑒𝒷𝒪1 #𝒟𝒾𝑒𝒷𝒪37 
https://t.co/vwGxGndkHO",0.0067806947,0.4511474,0.5420718
6,#vw #golf #15tsi #highline #opendak #led #leder #navigatie #occasion #onderhoud #banden #bovag #garantie #autoreuvers #boschcarservice #losser #cars #partner #mobiliteit http @ Losser http,0.08881806,0.8343483,0.07683366
7,#vw #polo #10tsi #comfortline #occasion #onderhoud #bovag #garantie #autoreuvers #boschcarservice #losser #partner #mobiliteit http @ Losser http,0.18704836,0.75310975,0.059841797
8,@user @user I’m looking forward to buying an electric car next year from anyone other than Tesla! You couldn’t give me one of those symbols of disgusting abuse and contempt! #fordmustang #kia #VW #hundai #Honda #volvo,0.48167157,0.30935234,0.2089761
9,"@user everyone's waiting in Antici .....

....pation for your June Ghosts

#MJNWVIP #MHHSBD #QueenOf #classic #VW #Campervan #Hire http",0.012517374,0.62799007,0.3594926
10,"@user #TX #WI #WASHINGTON #FL #ALABAMA #TENNESSEE #NEBRASKA #MASSACHUSETTS #VA #KY #CO #NEVADA #KANSAS #CHICAGO #RI  #NJ #VW #NM  #PA #OHIO #OR #OKLAHOMA #IL #MA  #MI http are not as Stupid as you, apparently! #VOTE #DEMOCRAT #AMERICA! 
Here is a great idea... http",0.2402653,0.4161993,0.3435354
11,"@user They are truly fantastic. Price is similar to a low-priced 1:43, but the size of the decals/tampos ('GT' ones on the coupé in particular) are so, so tiny. Very well done. And just realised the wheels are actually the same on both, but with black painted parts on the coupé! #VW",0.0034293435,0.025545012,0.9710256
12,"@user has released a new baby and this seems like a new fave ! SUV in four different variations and even affordable! 

Love the technology that comes with it !!  

#LetsGo #VW #Taigo http",0.0015452266,0.017067738,0.9813871
